mp_id,ev_plateau_days_frac,ev_plateau_level_kw,ev_plateau_level_p90_kw,ev_level_consistency,ev_plateau_duration_h,ev_plateau_duration_p90_h,ev_plateau_energy_kwh,ev_plateau_energy_p90_kwh,ev_flat_plateau_days_frac,ev_step_up_kw,ev_start_evening_night_frac,ev_start_hour_spread_h,ev_day_plateau_days_frac,ev_weekend_minus_weekday_frac,ev_gap_days_median,ev_plateau_days_winter_minus_summer,ev_max_over_base_kw,ev_high_hours_per_day,ev_high_energy_share,ev_sessions_per_plateau_day,n_days,n_summer_days,n_winter_days,mean_import_kw,base_kw
100096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,912.0000,0.0000,2.6098,0.0118,0.0125,0.0000,912,338,269,0.0970,0.0440
100352,0.0294,2.7970,3.1800,0.8077,2.0000,2.5000,6.1660,7.8595,0.0011,2.4520,0.7692,3.7905,0.0068,0.0199,15.0000,0.0310,4.7187,0.6232,0.1331,1.0769,883,338,240,0.5032,0.1360
100608,0.3035,2.0800,2.3066,0.9664,1.2500,3.0000,2.6375,6.3477,0.2684,1.6500,0.8396,3.4465,0.0487,-0.1082,1.0000,0.1620,4.6338,0.8293,0.3883,1.0634,883,338,240,0.1993,0.0160
101888,0.0270,2.8080,3.5380,0.6522,1.0000,1.4500,2.9660,4.5544,0.0012,2.5120,0.6957,2.5447,0.0082,0.0431,18.0000,0.0352,6.2408,0.4815,0.1369,1.0000,852,338,240,0.4546,0.1860
102144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,852.0000,0.0000,3.7110,0.0619,0.0320,0.0000,852,338,240,0.2017,0.0780
103424,0.9026,3.8140,7.4452,0.5774,4.5000,9.5000,16.0990,57.4146,0.3063,3.7040,0.8349,4.9259,0.1491,-0.1121,1.0000,0.1526,17.0356,7.8066,0.4707,2.1886,852,338,240,3.0976,1.3640
103680,0.0164,2.4890,2.8008,0.9286,1.0000,1.1750,2.6460,3.0875,0.0023,1.9380,0.3571,1.7902,0.0106,-0.0056,44.0000,0.0048,3.9256,0.2388,0.1079,1.0000,852,338,240,0.2301,0.0400
103936,0.2124,2.6960,5.6060,0.4972,1.2500,2.0000,4.0260,6.0590,0.0763,1.9560,0.4365,5.0374,0.1197,-0.0543,2.0000,0.0027,6.8317,0.8973,0.1961,1.0663,852,338,240,0.6213,0.1120
104448,0.0035,2.2160,2.7168,0.6667,1.2500,1.4500,2.9560,3.2768,0.0012,2.5880,0.0000,1.0856,0.0035,0.0009,310.0000,0.0012,3.8229,0.1482,0.0920,1.0000,852,338,240,0.1703,0.0200
105216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,822.0000,0.0000,4.0422,0.0943,0.0787,0.0000,822,338,240,0.1308,0.0320
105472,0.0061,2.6420,3.2672,0.6000,1.2500,2.4500,3.6350,5.7279,0.0012,2.1160,0.4000,3.0514,0.0036,0.0034,58.5000,0.0054,3.7904,0.1846,0.0871,1.0000,822,338,240,0.2107,0.0800
105728,0.7754,4.3120,5.2356,0.5835,1.5000,3.7500,6.7605,15.7530,0.0858,3.5720,0.9074,3.1235,0.0718,-0.1674,1.0000,0.3242,8.8184,4.2598,0.3726,1.3139,641,246,212,1.6939,0.5760
106240,0.8869,6.1440,6.2640,0.9479,1.7500,2.2500,9.9360,13.1480,0.6363,4.9720,0.8176,3.5788,0.1618,-0.2780,1.0000,0.0836,8.2143,2.7004,0.7305,1.1468,822,338,240,0.7946,0.0240
