mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_midday_over_import_summer,export_night_over_import,export_midday_minus_evening_over_import_summer,export_max_kw,export_max_over_mean_import,export_summer_minus_winter_over_import,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw
100096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3911,1.3861,0.0126,0.3747,0.0044,3.9922,1.4153,0.3123,2.9038,0.7159,912,338,269,1,0,0.0000,0.0970,0
100352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8646,2.4784,0.0000,0.0000,0.0385,6.0199,0.7064,0.3672,3.8695,0.4292,883,338,240,1,0,0.0000,0.5032,0
100608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5865,0.8663,3.0703,2.6344,-0.0328,3.2629,0.6703,0.2500,4.9485,0.2785,883,338,240,1,0,0.0000,0.1993,0
101888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3533,2.6628,0.0000,0.0000,-0.0041,8.8184,0.7124,0.3839,4.0801,1.0287,852,338,240,1,0,0.0000,0.4546,0
102144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7939,2.2489,0.0000,0.0003,0.0282,6.1162,0.8892,0.3663,3.3039,0.8035,852,338,240,1,0,0.0000,0.2017,0
103424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8433,0.7216,0.0000,0.0000,0.0125,4.8594,0.6481,0.2987,0.7863,0.5806,852,338,240,1,0,0.0000,3.0976,0
103680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5255,4.6903,0.3576,0.3755,-0.0186,6.5364,0.8474,0.4063,12.0303,0.6018,852,338,240,1,0,0.0000,0.2301,0
103936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6214,1.6388,0.0044,0.0209,0.0113,4.8292,0.9069,0.3562,3.2782,0.3457,852,338,240,1,0,0.0000,0.6213,0
104448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4958,4.1463,1.3939,1.9139,0.0018,5.9234,0.9295,0.3732,12.7520,0.6921,852,338,240,1,0,0.0000,0.1703,0
105216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8760,2.8671,0.5273,1.3056,0.0147,2.8129,0.9798,0.4146,4.3463,0.5637,822,338,240,1,0,0.0000,0.1308,0
105472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8786,2.0038,0.0000,0.0000,-0.0106,8.4565,0.7586,0.3550,4.2134,0.9212,822,338,240,1,0,0.0000,0.2107,0
105728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8922,0.5869,0.0000,0.0000,-0.0121,4.9407,0.4855,0.2702,1.2736,0.3931,641,246,212,1,0,0.0000,1.6939,0
106240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3331,0.1676,0.4769,0.6026,-0.0100,3.5384,0.7317,0.2015,0.9817,0.0335,822,338,240,1,0,0.0000,0.7946,0
107008,81.2930,0.1667,0.0161,0.0001,0.0143,0.0000,0.0072,0.1920,0.2358,0.0107,1.6299,2.0043,1.4131,0.0000,0.0354,4.1748,0.4887,0.2864,4.7506,0.0255,822,338,240,1,1,0.5000,0.8144,0
107264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1938,0.8135,0.0000,0.0000,-0.0444,7.2640,0.2162,0.3938,2.1318,0.4944,852,338,240,1,0,0.0000,1.1147,0
107776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9022,4.6862,0.0025,0.0013,0.0257,8.2214,0.9760,0.4669,6.6509,0.5724,791,307,240,1,0,0.0000,0.3051,0
108800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0074,2.5228,0.9067,0.9533,0.0091,6.9733,0.8434,0.3441,4.7522,0.8281,791,307,240,1,0,0.0000,0.0964,0
109056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5115,0.7172,0.0000,0.0000,0.0200,2.4475,0.4927,0.2245,0.9360,0.1063,1301,461,420,1,0,0.0000,0.5054,0
109312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3784,0.6158,0.0000,0.0000,-0.0242,3.9950,0.8655,0.2550,3.4960,0.4734,791,307,240,1,0,0.0000,0.3403,0
109568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4577,3.2504,1.7691,2.1118,0.0007,6.2526,0.7698,0.3792,9.5709,0.8385,791,307,240,1,0,0.0000,0.0727,0
109824,15323.8877,0.4432,12.9426,0.0132,11.2365,0.0001,5.3737,9.7440,17.5777,2.8689,1.3662,0.7897,5.9306,4.0454,-0.0370,4.2319,0.0905,0.2398,8.3070,0.0000,1126,430,361,1,1,11.3200,0.5543,0
110592,241.7150,0.3569,0.0442,0.0017,0.0412,0.0000,0.0234,0.3692,0.3069,0.0181,1.0160,0.7999,2.2106,0.0000,0.0044,2.6275,0.2936,0.2990,2.9971,0.0503,1034,338,361,1,1,0.4440,1.2030,0
110848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6982,0.4756,0.3567,0.9163,0.0051,2.6220,0.7124,0.2123,5.7075,0.3990,791,307,240,1,0,0.0000,0.3225,0
111104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8162,9.3321,1.0010,2.5864,-0.0273,5.7226,1.0616,0.5059,18.8266,0.6854,791,307,240,1,0,0.0000,0.1888,0
111360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1456,3.6202,0.1615,0.5513,-0.0187,6.3631,0.8168,0.3880,8.0196,0.6847,791,307,240,1,0,0.0000,0.2551,0
111616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3195,0.8184,0.0000,0.0000,-0.0718,6.5611,0.3039,0.3651,2.1402,0.5749,730,277,240,1,0,0.0000,0.6898,0
112640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0079,1.5886,0.5888,0.3244,-0.0543,5.5614,0.6300,0.3676,4.6553,0.1634,761,277,240,1,0,0.0000,0.3974,0
113664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0015,0.7269,0.0000,0.0000,0.0136,3.0803,0.6277,0.2396,2.6793,0.2171,791,307,240,1,0,0.0000,0.9853,0
114432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9427,0.9960,0.0000,0.0000,0.0030,5.4282,0.5030,0.2862,1.6081,0.3505,730,246,240,1,0,0.0000,1.4882,0
115712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9194,3.8391,0.0000,0.0013,0.0206,5.2378,1.1887,0.4532,5.9784,0.9545,668,215,240,1,0,0.0000,0.1864,0
115968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8802,0.1258,0.0012,0.0000,-0.0805,5.5032,0.2678,0.2409,2.0073,0.2018,699,215,240,1,0,0.0000,2.2190,0
116224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8245,0.7385,0.0000,0.0000,0.0051,5.9204,0.3994,0.2915,0.9712,0.4719,699,215,240,1,0,0.0000,1.9078,0
116992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3374,1.6459,0.0000,0.0000,-0.0254,5.7166,0.7100,0.3234,1.2816,0.9729,668,215,240,1,0,0.0000,0.2268,0
117504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0893,1.3533,0.0000,0.0000,-0.0304,6.4325,0.2559,0.4287,6.2474,0.5434,699,215,240,1,0,0.0000,2.1106,0
117760,110.2420,0.1557,0.0392,0.0408,0.0389,0.0000,0.0312,4.1358,3.4366,-0.0128,1.1677,1.1609,0.5412,0.0000,-0.0003,4.2350,0.7832,0.3443,3.1635,0.0928,122,0,92,1,1,5.8920,1.2035,0
118016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7046,1.9440,0.0000,0.0000,0.0086,7.9438,1.1703,0.3691,2.7294,0.9113,699,215,240,1,0,0.0000,0.2963,0
119040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0266,1.6230,0.2174,0.9970,0.0013,5.3730,1.2556,0.3724,3.9791,0.8085,669,215,240,1,0,0.0000,0.1387,0
119296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2631,0.5887,0.0000,0.0000,-0.0123,5.6414,0.8322,0.2580,2.5363,0.5279,669,215,240,1,0,0.0000,0.5464,0
