mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_winter_share,export_midday_share_summer,export_night_share,export_mean_hour_summer,export_hour_std_summer,export_max_kw,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw,weather_export_irradiance_corr_summer,weather_sunny_cloudy_export_contrast_summer,weather_export_per_irradiation_summer,weather_midday_import_irradiance_corr_summer,weather_winter_import_temperature_corr,plz,ort,weather_station,weather_station_distance_km,weather_temperature_station,weather_temperature_station_distance_km,weather_common_summer_days,weather_common_winter_days,weather_error,n_filled_features
100096,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.39115,1.38614,0.01257,0.37471,0.00438,3.99216,1.41534,0.31226,2.90377,0.71589,912,338,269,1,0,0.00000,0.09700,0,0.00000,0.00000,0.00000,-0.05610,-0.06762,4303,Kaiseraugst,STC St. Chrischona,5.73753,MOE Möhlin,10.99251,332,240,,7
100352,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.86459,2.47842,0.00000,0.00000,0.03846,6.01988,0.70639,0.36723,3.86952,0.42924,883,338,240,1,0,0.00000,0.50325,0,0.00000,0.00000,0.00000,-0.06735,0.00260,4310,Rheinfelden,MOE Möhlin,6.44527,MOE Möhlin,6.44527,336,240,,7
100608,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.58648,0.86634,3.07027,2.63441,-0.03275,3.26294,0.67035,0.24997,4.94845,0.27848,883,338,240,1,0,0.00000,0.19932,0,0.00000,0.00000,0.00000,-0.04145,-0.04266,5504,Othmarsingen,BUS Buchs / Aarau,10.46537,BUS Buchs / Aarau,10.46537,337,239,,7
101888,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.35331,2.66282,0.00000,0.00000,-0.00415,8.81837,0.71238,0.38388,4.08014,1.02869,852,338,240,1,0,0.00000,0.45457,0,0.00000,0.00000,0.00000,-0.09489,-0.01699,5506,Mägenwil,BUS Buchs / Aarau,11.91100,BUS Buchs / Aarau,11.91100,307,240,,7
102144,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.79389,2.24894,0.00000,0.00030,0.02821,6.11624,0.88917,0.36628,3.30386,0.80346,852,338,240,1,0,0.00000,0.20166,0,0.00000,0.00000,0.00000,-0.10676,0.01313,5622,Waltenschwil,MOA Mosen,11.13299,MOA Mosen,11.13299,324,235,,7
103424,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,0.84329,0.72161,0.00000,0.00000,0.01250,4.85935,0.64805,0.29874,0.78631,0.58056,852,338,240,1,0,0.00000,3.09761,0,0.00000,0.00000,0.00000,-0.18850,-0.54139,5622,Waltenschwil,MOA Mosen,11.13299,MOA Mosen,11.13299,329,239,,7
103680,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,4.52548,4.69025,0.35757,0.37545,-0.01860,6.53637,0.84745,0.40628,12.03034,0.60183,852,338,240,1,0,0.00000,0.23012,0,0.00000,0.00000,0.00000,-0.03029,0.09956,4310,Rheinfelden,MOE Möhlin,6.44527,MOE Möhlin,6.44527,337,239,,7
103936,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.62145,1.63877,0.00444,0.02088,0.01134,4.82923,0.90693,0.35618,3.27822,0.34575,852,338,240,1,0,0.00000,0.62126,0,0.00000,0.00000,0.00000,0.11023,0.14924,5622,Waltenschwil,MOA Mosen,11.13299,MOA Mosen,11.13299,322,238,,7
104448,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,3.49576,4.14626,1.39392,1.91393,0.00182,5.92337,0.92948,0.37319,12.75203,0.69213,852,338,240,1,0,0.00000,0.17034,0,0.00000,0.00000,0.00000,0.12213,0.01697,4310,Rheinfelden,MOE Möhlin,6.44527,MOE Möhlin,6.44527,327,240,,7
105216,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.87596,2.86705,0.52727,1.30559,0.01471,2.81293,0.97978,0.41457,4.34632,0.56373,822,338,240,1,0,0.00000,0.13081,0,0.00000,0.00000,0.00000,0.09785,-0.08647,5504,Othmarsingen,BUS Buchs / Aarau,10.46537,BUS Buchs / Aarau,10.46537,328,238,,7
105472,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.87864,2.00383,0.00000,0.00000,-0.01064,8.45649,0.75861,0.35499,4.21338,0.92123,822,338,240,1,0,0.00000,0.21069,0,0.00000,0.00000,0.00000,-0.00257,-0.01172,5504,Othmarsingen,BUS Buchs / Aarau,10.46537,BUS Buchs / Aarau,10.46537,330,240,,7
