mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_midday_over_import_summer,export_night_over_import,export_midday_minus_evening_over_import_summer,export_max_kw,export_max_over_mean_import,export_summer_minus_winter_over_import,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw
159232,1958.3600,0.1319,1.8026,0.0000,1.7074,0.0000,1.0247,11.1004,18.0537,1.9073,1.4190,1.4485,3.0571,1.2245,0.0682,4.8991,1.5425,0.2313,3.4066,0.0000,273,92,120,1,1,11.8120,0.6149,0
174336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5482,0.5482,0.0000,0.0000,0.0000,12.0000,1.0000,0.3333,0.0000,0.5482,31,31,0,1,0,0.0000,0.1974,0
28930,504.9960,0.0071,0.0441,0.0000,0.0390,0.0001,0.0177,0.0000,0.0000,0.0384,1.4455,0.4712,0.1179,0.0075,0.0062,5.5827,0.7794,0.1970,3.4268,0.4028,1270,461,420,1,0,11.0520,1.1882,0
97794,17870.9668,0.6073,16.9256,0.2239,14.6749,0.0003,7.5247,8.5664,65.7602,12.4354,2.6029,0.7679,6.2796,5.5579,0.0317,4.8465,0.5154,0.1393,9.5543,0.0000,881,338,269,1,1,9.2640,0.1303,0
126213,16917.4648,0.7470,52.1958,0.0344,45.7406,0.0138,22.5003,10.8470,17.4837,4.0659,0.0052,0.3772,7.8721,3.3781,0.0509,7.1910,0.0383,0.0456,0.0259,0.0000,577,215,179,1,1,12.3800,0.6204,0
139013,14244.9189,0.8556,30.0769,0.0229,24.8247,0.0083,11.8570,12.7580,18.2979,3.3430,0.2825,0.4687,6.5825,2.8059,-0.0065,3.1404,0.0403,0.1918,1.1900,0.0000,457,215,120,1,1,14.3440,0.6972,0
154629,1906.7440,0.4770,11.0778,0.0019,10.1765,0.0003,6.0690,3.9672,8.0389,1.4594,0.0408,0.4810,7.4321,2.7544,0.0413,2.0822,0.0681,0.1135,0.1459,0.0000,304,92,120,1,1,4.5720,0.4935,0
162821,4235.8291,0.2810,1.5700,0.5844,1.4470,0.0000,0.8367,18.7064,8.7756,0.3875,0.9146,0.9398,3.7005,2.0816,0.0230,4.4826,0.6190,0.1898,2.6179,0.0000,153,92,0,1,1,18.8800,2.1316,0
48901,320.0670,0.0323,0.0370,0.0000,0.0370,0.0000,0.0339,0.0000,0.0000,0.0349,1.9032,0.9106,0.6825,0.0331,-0.0207,8.2131,0.8827,0.2583,5.2080,0.0150,1301,461,420,1,0,4.0760,0.8304,0
60933,19560.3770,0.7976,6.5884,0.0305,5.8570,0.0003,3.5827,7.8022,7.1959,1.0592,0.5005,0.5635,6.3585,0.0920,0.0498,1.3470,0.0801,0.1508,2.3207,0.0000,1270,461,420,1,1,8.9640,1.0843,0
