mp_id,export_kwh_total,export_days_frac,export_offsolar_over_import,export_offsolar_days_frac,export_flat_plateau_frac,export_bursts_per_day,export_max_kw,export_max_over_mean_import,export_summer_winter_flatness,import_zero_hours_night,import_night_charge_kw_over_mean,import_night_charge_flatness,import_night_charge_persistence,import_evening_peak_suppression,import_ramp_events_night,import_zero_hours_midday_allyear,import_seasonal_flatness,import_midday_night_ratio_allyear,daily_activity_cycles,self_consumption_shift_score,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,has_offsolar_export,export_max_raw_kw,mean_import_kw,n_negative_raw
159232,1958.3600,0.1319,0.0000,0.0000,0.2108,0.1941,11.1004,18.0537,-6.9710,1.2245,1.2165,0.4206,0.0049,-0.0253,1.0916,1.3653,-0.4332,1.3532,3.4615,0.4239,273,92,120,1,1,0,11.8120,0.6149,0
174336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,1.0000,0.0000,-0.1501,0.0645,0.0000,-0.0000,0.0000,0.0323,0.0000,31,31,0,1,0,0,0.0000,0.1974,0
28930,504.9960,0.0071,0.0000,0.0063,0.1274,0.0551,0.0000,0.0000,-4.0213,0.0075,2.4323,1.3318,0.5036,-0.4529,6.5567,0.0429,-0.2492,0.4794,2.6898,0.0727,1270,461,420,1,0,0,11.0520,1.1882,0
97794,17870.9668,0.6073,0.0001,0.0023,0.2464,1.1453,8.5664,65.7602,-3.6425,5.5579,2.1088,0.4154,0.1456,-0.4117,0.0942,6.1375,-0.6617,1.2131,1.3246,0.1615,881,338,269,1,1,0,9.2640,0.1303,0
126213,16917.4648,0.7470,0.0106,0.4731,0.1386,3.2669,10.8470,17.4837,-4.0429,3.3781,3.6174,0.5316,0.4876,0.4306,7.8354,6.1627,-3.2585,0.2401,4.7331,0.5823,577,215,179,1,1,1,12.3800,0.6204,0
139013,14244.9189,0.8556,0.0072,0.5033,0.1320,4.3698,12.7580,18.2979,-3.9502,2.8059,4.2405,1.0091,0.3779,0.2062,6.1882,4.4060,-3.2076,0.4052,5.8053,0.4891,457,215,120,1,1,1,14.3440,0.6972,0
154629,1906.7440,0.4770,0.0000,0.0033,0.3737,1.2632,3.9672,8.0389,-5.5732,2.7544,2.5717,0.9511,0.4190,0.1376,13.2928,5.5289,-2.6841,0.3686,6.7336,0.4566,304,92,120,1,1,0,4.5720,0.4935,0
162821,4235.8291,0.2810,0.0000,0.0000,0.1520,0.6405,18.7064,8.7756,-0.5084,2.0816,2.1846,1.2516,0.2128,-0.0304,12.9739,2.3883,-0.4796,1.0138,3.5621,0.6823,153,92,0,1,1,0,18.8800,2.1316,0
48901,320.0670,0.0323,0.0000,0.0015,0.2289,0.0515,0.0000,0.0000,-3.5756,0.0331,2.2650,1.4156,0.3892,-0.3212,3.8086,0.2411,-0.1247,0.7227,2.2022,0.3213,1301,461,420,1,0,0,4.0760,0.8304,0
60933,19560.3770,0.7976,0.0003,0.0370,0.1949,2.4866,7.8022,7.1959,-2.8406,0.0920,3.1957,0.8856,0.4153,-0.2356,5.7669,4.5240,-2.5234,0.4532,4.1961,0.6107,1270,461,420,1,1,1,8.9640,1.0843,0
139014,9802.7471,0.8249,0.0001,0.0109,0.1733,3.3698,11.6060,13.8214,-3.3482,2.2892,3.2744,0.9812,0.3502,0.0734,7.6433,4.4178,-1.0169,0.3175,6.1028,0.3306,457,215,120,1,1,0,12.9080,0.8397,0
149254,18192.2949,0.7562,0.0000,0.0000,0.1574,1.5260,20.8630,15.7498,-2.7967,0.0543,3.9533,1.0182,0.3739,-0.1426,11.4493,4.4333,-2.4044,0.2789,3.7370,0.4393,365,123,120,1,1,0,21.8720,1.3246,0
97798,17138.9824,0.7039,0.0000,0.0022,0.1814,1.3980,8.4792,28.5049,-4.2648,0.1493,4.4639,0.6729,0.3665,0.1680,7.7708,5.6818,-3.1659,0.2363,4.2851,0.4444,912,338,300,1,1,0,9.7840,0.2975,0
154632,4021.4180,0.6316,0.0000,0.0033,0.2499,1.6875,7.8568,15.1186,-4.0329,3.7711,4.3477,0.7795,0.4965,0.2509,12.4868,5.2219,-3.2890,0.1788,6.0559,0.4031,304,92,120,1,1,0,8.5880,0.5197,0
154633,4029.6812,0.9145,0.0021,0.4605,0.0994,7.0691,8.4048,9.3753,-3.4001,2.4824,4.5720,0.7811,0.3134,-0.3675,13.6743,3.8816,-2.1617,0.2898,10.5428,0.3737,304,92,120,1,1,1,9.3880,0.8965,0
