mp_id,ev_plateau_days_frac,ev_plateau_level_kw,ev_plateau_level_p90_kw,ev_level_consistency,ev_plateau_duration_h,ev_plateau_duration_p90_h,ev_plateau_energy_kwh,ev_plateau_energy_p90_kwh,ev_flat_plateau_days_frac,ev_step_up_kw,ev_start_evening_night_frac,ev_start_hour_spread_h,ev_day_plateau_days_frac,ev_weekend_minus_weekday_frac,ev_gap_days_median,ev_plateau_days_winter_minus_summer,ev_max_over_base_kw,ev_high_hours_per_day,ev_high_energy_share,ev_sessions_per_plateau_day,n_days,n_summer_days,n_winter_days,mean_import_kw,base_kw
159232,0.0073,4.2520,4.9768,0.0000,1.7500,1.9500,8.9955,9.7559,0.0000,7.2720,0.0000,0.8789,0.0073,0.0256,7.0000,0.0083,4.0159,0.1795,0.0418,1.0000,273,92,120,0.6149,0.4420
174336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,0.0000,0.6618,0.0000,0.0000,0.0000,31,31,0,0.1974,0.0000
28930,0.9386,6.2840,6.7598,0.8389,2.0000,2.7500,11.8740,16.3998,0.4433,4.7920,0.9740,2.4178,0.0244,-0.1377,1.0000,0.0769,11.5745,3.4301,0.5848,1.1745,1270,461,420,1.1885,0.2140
97794,0.0545,8.7200,10.5404,0.2708,3.2500,3.7500,22.1245,30.0303,0.0204,6.2100,0.1250,2.9229,0.0477,-0.0263,16.0000,0.0218,10.6112,0.1938,0.4138,1.0000,881,338,269,0.1303,0.0000
126213,0.1993,2.5300,3.2944,0.6087,1.7500,6.0000,5.2115,18.3404,0.0295,2.2200,0.8609,4.3329,0.0277,0.0367,1.0000,0.3920,6.5548,1.7028,0.3285,1.8870,577,215,179,0.6204,0.0000
139013,0.3720,3.1100,4.2718,0.4765,2.0000,4.2500,6.1267,16.3568,0.0766,3.8260,0.8000,5.4946,0.0744,-0.0684,1.0000,0.8591,12.8817,3.4978,0.7109,3.9235,457,215,120,0.6972,0.0000
154629,0.4342,2.9160,3.9114,0.5909,1.7500,3.2250,4.9142,11.2984,0.0263,2.3840,0.6894,7.8301,0.1349,0.0917,1.0000,0.7533,6.8484,1.3676,0.3683,1.2197,304,92,120,0.4935,0.0040
162821,0.5033,6.2800,7.8228,0.3636,1.2500,2.0000,8.0420,13.9422,0.0131,10.0240,0.8442,5.4037,0.0784,-0.0207,1.0000,0.2207,15.9230,6.5425,0.8245,3.8182,153,92,0,2.1316,0.1980
48901,0.7487,6.0240,6.1974,0.9240,1.2500,1.7500,6.7267,10.2475,0.3182,4.5400,0.7813,3.7866,0.1637,-0.2027,1.0000,0.0569,8.3500,1.8822,0.4339,1.0914,1301,461,420,0.8307,0.2660
60933,0.5362,5.6660,6.2100,0.7724,1.5000,2.2500,7.1770,12.3650,0.1094,5.0240,0.8047,5.3628,0.1047,-0.0218,1.0000,0.8903,14.7325,4.3945,0.8548,4.7210,1270,461,420,1.0842,0.0000
139014,0.5580,3.9260,9.9848,0.5176,2.5000,5.2500,10.7830,27.5677,0.0963,3.3720,0.8118,6.3488,0.1050,-0.0380,1.0000,0.1368,14.5098,2.9809,0.6389,1.5294,457,215,120,0.8397,0.0000
149254,0.3534,4.3320,12.0580,0.1240,2.5000,8.1000,14.9710,65.8338,0.0137,5.2520,0.8140,4.1523,0.0658,0.0571,1.0000,0.7260,15.8260,4.5507,0.6450,1.8915,365,123,120,1.3246,0.0000
97798,0.0099,3.0440,3.6504,0.7778,1.0000,3.5000,3.4340,12.0150,0.0022,3.0840,0.5556,9.3268,0.0044,-0.0084,19.0000,0.0300,5.2966,0.9666,0.3983,1.4444,912,338,300,0.2973,0.0000
154632,0.4408,4.2970,5.0374,0.7537,2.0000,3.0000,8.6550,14.0134,0.0164,3.8140,0.9179,4.3097,0.0362,0.0177,1.0000,0.8482,10.5402,1.8183,0.5686,1.1940,304,92,120,0.5197,0.0000
154633,0.3586,7.8120,9.0376,0.5963,2.7500,6.5500,20.1835,52.1560,0.0526,5.6840,0.7248,4.1778,0.0987,0.2135,1.0000,0.5580,12.0936,2.5485,0.6212,1.2385,304,92,120,0.8965,0.0000
48393,0.2811,4.6500,11.7464,0.1877,1.5000,3.7500,7.4505,39.4574,0.0165,4.9520,0.6527,6.3496,0.0976,0.0307,1.0000,0.5183,16.1917,3.9799,0.7417,1.8796,1270,461,420,0.9227,0.0040
65289,0.4693,3.9590,5.3460,0.3658,1.5000,3.0000,5.8360,14.8695,0.0433,5.0100,0.8339,5.4258,0.0780,-0.0014,1.0000,0.9239,11.0438,5.0870,0.8281,3.9832,1270,461,420,1.0525,0.0000
65290,0.1496,3.0180,3.4188,0.8632,1.0000,1.5000,3.7705,5.5709,0.0008,3.2940,0.8947,2.5355,0.0157,-0.1362,2.0000,0.3387,6.8512,0.4122,0.2371,1.0211,1270,461,420,0.2273,0.0040
