mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_winter_share,export_midday_share_summer,export_night_share,export_mean_hour_summer,export_hour_std_summer,export_max_kw,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw,weather_export_irradiance_corr_summer,weather_sunny_cloudy_export_contrast_summer,weather_export_per_irradiation_summer,weather_midday_import_irradiance_corr_summer,weather_winter_import_temperature_corr,plz,ort,weather_station,weather_station_distance_km,weather_temperature_station,weather_temperature_station_distance_km,weather_common_summer_days,weather_common_winter_days,weather_error,n_filled_features
159232,1958.35999,0.13187,1.80262,0.00000,0.00000,0.94715,0.00002,13.31329,2.10479,11.10040,1.41898,1.44847,3.05707,1.22451,0.06815,4.89907,1.54248,0.23132,3.40663,0.00000,273,92,120,1,1,11.81200,0.61485,0,0.29821,0.63677,3.16629,-0.24581,-0.03728,5313,Klingnau,BEZ Beznau,3.67126,BEZ Beznau,3.67126,91,53,,0
174336,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,0.54818,1.00000,0.00000,0.00000,0.00000,12.00000,1.00000,0.33333,0.00000,0.54818,31,31,0,1,0,0.00000,0.19743,0,0.00000,0.00000,0.00000,0.00000,0.00000,5506,Mägenwil,BUS Buchs / Aarau,11.91100,BUS Buchs / Aarau,11.91100,0,0,,18
28930,504.99600,0.00709,0.04409,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.44554,0.47116,0.11793,0.00751,0.00624,5.58268,0.77937,0.19700,3.42677,0.40282,1270,461,420,1,0,11.05200,1.18823,0,0.07822,0.83043,0.18994,-0.06801,-0.08657,5726,Unterkulm,BUS Buchs / Aarau,7.61319,BUS Buchs / Aarau,7.61319,458,419,,5
97794,17870.96680,0.60726,16.92557,0.22389,0.02502,0.86702,0.00004,12.75005,2.59890,8.56640,2.60289,0.76791,6.27959,5.55795,0.03167,4.84651,0.51539,0.13934,9.55434,0.00000,881,338,269,1,1,9.26400,0.13027,0,0.67752,0.57073,6.25396,-0.10171,-0.04280,5313,Klingnau,BEZ Beznau,3.67126,BEZ Beznau,3.67126,337,240,,0
126213,16917.46484,0.74697,52.19585,0.03435,0.01691,0.87633,0.00639,13.06892,2.68431,10.84700,0.00522,0.37721,7.87209,3.37810,0.05090,7.19103,0.03827,0.04558,0.02594,0.00000,577,215,179,1,1,12.38000,0.62040,0,0.95975,0.49617,9.10661,-0.32618,-0.77094,5027,Herznach,BUS Buchs / Aarau,9.99514,BUS Buchs / Aarau,9.99514,215,126,,0
139013,14244.91895,0.85558,30.07686,0.02292,0.01854,0.82537,0.00425,12.68883,2.86263,12.75800,0.28254,0.46867,6.58247,2.80588,-0.00653,3.14035,0.04035,0.19181,1.19002,0.00000,457,215,120,1,1,14.34400,0.69724,0,0.90110,0.54788,9.66370,-0.53839,-0.75947,4313,Möhlin,MOE Möhlin,2.26388,MOE Möhlin,2.26388,193,120,,0
154629,1906.74402,0.47697,11.07785,0.00194,0.00256,0.91864,0.00048,13.69634,2.14165,3.96720,0.04081,0.48104,7.43207,2.75440,0.04131,2.08224,0.06807,0.11355,0.14589,0.00000,304,92,120,1,1,4.57200,0.49350,0,0.87136,0.41545,2.42332,-0.25182,-0.53182,4313,Möhlin,MOE Möhlin,2.26388,MOE Möhlin,2.26388,92,120,,0
162821,4235.82910,0.28105,1.57003,0.00000,0.50000,0.92163,0.00002,12.45011,2.29193,18.70640,0.91456,1.00000,3.70055,2.08156,0.00000,4.48261,1.00000,0.18979,2.61789,0.00000,153,92,0,1,1,18.88000,2.13164,0,0.42078,0.76304,6.90833,-0.35426,0.00000,8962,Bergdietikon,UEB Uetliberg,9.28304,LAE Lägern,10.61436,91,0,,6
48901,320.06699,0.03228,0.03700,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.90321,0.91062,0.68246,0.03308,-0.02072,8.21308,0.88272,0.25829,5.20803,0.01503,1301,461,420,1,0,4.07600,0.83044,0,0.27027,0.99954,0.11984,-0.07991,-0.03833,5745,Safenwil,GOE Gösgen,4.74786,GOE Gösgen,4.74786,455,418,,5
60933,19560.37695,0.79764,6.58838,0.03047,0.05459,0.88899,0.00048,12.10756,2.31323,7.80220,0.50046,0.56346,6.35846,0.09200,0.04975,1.34703,0.08010,0.15080,2.32072,0.00000,1270,461,420,1,1,8.96400,1.08426,0,0.81459,0.60393,5.00761,-0.32602,-0.78822,8962,Bergdietikon,UEB Uetliberg,9.28304,LAE Lägern,10.61436,460,418,,0
139014,9802.74707,0.82495,4.01418,0.05026,0.03347,0.94727,0.00037,13.07655,2.17248,11.60600,0.19475,0.39308,6.38212,2.28917,0.03258,2.86069,0.36159,0.08352,1.14120,0.00000,457,215,120,1,1,12.90800,0.83971,0,0.85620,0.63459,6.59361,-0.30815,-0.35699,4313,Möhlin,MOE Möhlin,2.26388,MOE Möhlin,2.26388,193,120,,0
