mp_id,export_to_import_ratio_summer,export_midday_share_summer,import_midday_night_ratio_summer,import_zero_hours_midday_summer,import_midday_share_winter_minus_summer,n_days,n_summer_days,n_winter_days,has_export_register,median_import_kw,n_negative_raw
53628,0.0000,0.2500,2.6568,0.0167,,30,30,0,1,9.1320,0
53911,0.0000,,2.5948,0.0000,,30,30,0,1,8.5860,0
50922,0.0000,,1.6705,0.0000,,30,30,0,1,77.6800,0
45390,0.0000,,0.3930,0.0000,,30,30,0,1,8.5500,0
52540,0.0000,,2.7713,0.0000,,30,30,0,1,89.3280,0
45388,0.0000,,1.4885,0.0000,,30,30,0,1,5.3120,0
45389,0.0000,,1.0142,0.0000,,30,30,0,1,25.3920,0
42451,0.0000,,1.7210,0.0000,,30,30,0,1,45.4560,0
53638,0.0000,,2.7958,0.0000,,30,30,0,1,76.3800,0
49688,0.0000,,2.5818,0.0000,,30,30,0,1,0.2640,0
